14-ounce can,14-ounce_can
15-ounce can,15-ounce_can
16-ounce can,16-ounce_can
can,can
cups,cups
cup,cup
teaspoons,teaspoons
teaspoon,teaspoon
tablespoons,tablespoons
tablespoon,tablespoon
ounces,ounces
ounce,ounce
pinches,pinches
pinch,pinch
sticks,sticks
stick,stick
dozen,dozen
sheets,sheets
pounds,pounds
pound,pound
